Time,Mode,Roll,Pitch,Z Relative distance,Y Relative Distance,X Relative Distance,Z Velocity Input,Y Velocity Input,X Velocity Input,Z Absolute Variance,Y Absolute Variance,X Absolute Variance
1609703823.9411714,Wait,-0.0036851351615041494,-0.003885970450937748,1.4538106439132064,0.10814379306098121,-1.5201540160988536,0,0,0,-10.605270842788741,-0.08879368007183075,0.1132020466029644
1609703824.2717671,Wait,-0.00231736758723855,-0.0036556196864694357,1.4176214812866998,-0.041981081281330976,-1.5306985869516807,0,0,0,-10.94310329365544,-0.08644634485244751,0.11150375381112099
1609703824.364162,Wait,0.009929245337843895,0.009821728803217411,1.4505867802053718,-0.033415451200181384,-1.50323818302035,0,0,0,-11.220498542068526,-0.08583386614918709,0.11370602622628212
1609703824.4740143,Wait,0.009929245337843895,0.009821728803217411,1.3951502276715904,0.16143640246491403,-1.5439341974630916,0,0,0,-11.220498542068526,-0.08583386614918709,0.11370602622628212
1609703824.5781775,Wait,0.0013797557912766933,0.002121733734384179,1.4365947395526129,0.14339208912452672,-1.4950869732241319,0,0,0,-11.349920729873702,-0.0894005224108696,0.12167046591639519
1609703824.6771576,Wait,0.0013797557912766933,0.002121733734384179,1.4631344916063722,0.05176630795296712,-1.4417410240772977,0,0,0,-11.349920729873702,-0.0894005224108696,0.12167046591639519
1609703824.793636,Wait,-0.00322994333691895,-0.0015964714111760259,1.4606109455527947,-0.007505803722921051,-1.4396554950619485,0,0,0,-11.358370284317061,-0.09430528804659843,0.13119563087821007
1609703824.893443,Wait,-0.00322994333691895,-0.0015964714111760259,1.4659464372543332,-0.01276183728631983,-1.4501375170772342,0,0,0,-11.358370284317061,-0.09430528804659843,0.13119563087821007
1609703824.991974,Wait,-0.00322994333691895,-0.0015964714111760259,1.4911405241484306,-0.03718362777679387,-1.4067232815380788,0,0,0,-11.358370284317061,-0.09430528804659843,0.13119563087821007
1609703825.0881047,Wait,-0.004929244518280029,-0.003136381506919861,1.4918343127946878,-0.03555382221632593,-1.4160383694358754,0,0,0,-11.338824729202315,-0.09988108649849892,0.14137553051114082
1609703825.1926465,Wait,-0.004929244518280029,-0.003136381506919861,1.485962765430581,-0.06559611497875222,-1.420860290981288,0,0,0,-11.338824729202315,-0.09988108649849892,0.14137553051114082
1609703825.3072507,Wait,-0.005583904217928648,-0.003146946430206299,1.492579424991105,-0.09134056093042946,-1.398463482650287,0,0,0,-11.308477858779952,-0.10526789352297783,0.15064121410250664
1609703825.4035726,Wait,-0.005583904217928648,-0.003146946430206299,1.4870123698863154,-0.1095863811091544,-1.4037804081274599,0,0,0,-11.308477858779952,-0.10526789352297783,0.15064121410250664
1609703825.489648,Wait,-0.005583904217928648,-0.003146946430206299,1.4868112709941952,-0.1077730022108365,-1.4043565528190092,0,0,0,-11.308477858779952,-0.10526789352297783,0.15064121410250664
1609703825.5766869,Wait,-0.0055046891793608665,-0.004221776500344276,1.5026675614197296,-0.11119480231348443,-1.367214936506342,0,0,0,-11.28010509419255,-0.11104099825024605,0.15777810290455818
1609703825.6721983,Wait,-0.0055046891793608665,-0.004221776500344276,1.5068468756858104,-0.12628198190373283,-1.3469135257484346,0,0,0,-11.28010509419255,-0.11104099825024605,0.15777810290455818
1609703825.7587047,Wait,-0.0055046891793608665,-0.004221776500344276,1.503483231176096,-0.12780830253980086,-1.3399848693058032,0,0,0,-11.28010509419255,-0.11104099825024605,0.15777810290455818
1609703825.874708,Wait,-0.005721612833440304,-0.005756798665970564,1.5107584801611704,-0.1299885226762638,-1.315433935674387,0,0,0,-11.25821731495671,-0.11672424152493477,0.1636582724750042
1609703825.9982436,Wait,-0.005721612833440304,-0.005756798665970564,1.5085200070447082,-0.12389056751787597,-1.3025489872604248,0,0,0,-11.25821731495671,-0.11672424152493477,0.1636582724750042
1609703826.1337452,Wait,-0.005595967173576355,-0.006366974674165249,1.5107714252861155,-0.12674678057029765,-1.2802746537794283,0,0,0,-11.243205527542159,-0.122317124158144,0.16911951825022697
1609703826.241132,Wait,-0.005595967173576355,-0.006366974674165249,1.5122383745534902,-0.138541623126027,-1.2514078665842558,0,0,0,-11.243205527542159,-0.122317124158144,0.16911951825022697
1609703826.3617423,Wait,-0.0061599151231348515,-0.005894904490560293,1.5178692602215806,-0.13006236307438743,-1.225900839505312,0,0,0,-11.233628730056807,-0.12689077481627464,0.17438263818621635
1609703826.4869401,Wait,-0.0061599151231348515,-0.005894904490560293,1.5157707804176566,-0.12179311023730174,-1.2166429665296505,0,0,0,-11.233628730056807,-0.12689077481627464,0.17438263818621635
1609703826.6242476,Wait,-0.006376579403877258,-0.0057050129398703575,1.5227942997501505,-0.12281647001438989,-1.1852576717030898,0,0,0,-11.228573302505538,-0.13013286516070366,0.17794069275259972
1609703826.7372556,Wait,-0.006376579403877258,-0.0057050129398703575,1.5218819830417014,-0.12388475259908756,-1.17147661600697,0,0,0,-11.228573302505538,-0.13013286516070366,0.17794069275259972
1609703826.849744,Wait,-0.005986340343952179,-0.0053725517354905605,1.5175737813473087,-0.11703418306367382,-1.1653901298173275,0,0,0,-11.22603843617253,-0.1316637583076954,0.17953002080321312
1609703826.942876,Wait,-0.005986340343952179,-0.0053725517354905605,1.5240368925088064,-0.12957638206038502,-1.1222687965961546,0,0,0,-11.22603843617253,-0.1316637583076954,0.17953002080321312
1609703827.061996,Tracking,-0.005218970589339733,-0.005622375290840864,1.530920457225934,-0.11399367774849467,-1.0995119843394863,0.1530920457225934,0.04394854547290848,0.4239009595765004,-11.224496344802901,-0.13408700749278069,0.1801290176808834
